Simulation,Timestep,Avg_Fitness
0,0,0.501901244490926
0,1,0.5502691881044027
0,2,0.5748735018430446
0,3,0.5837092450208751
0,4,0.5862483551188835
0,5,0.5884247781075491
0,6,0.5894062409591916
0,7,0.5895775159014637
0,8,0.5907729848237702
0,9,0.5918300230159325
0,10,0.5918300230159325
1,0,0.5872595125845309
1,1,0.6277584699500892
1,2,0.6555889010060426
1,3,0.6660479511078509
1,4,0.6725880584501934
1,5,0.6725880584501934
2,0,0.590345195302321
2,1,0.6663250546200997
2,2,0.7040643000294632
2,3,0.7240249923843123
2,4,0.7299493209689122
2,5,0.742774440515833
2,6,0.7428930177028716
2,7,0.7445838699058664
2,8,0.7445838699058664
3,0,0.6063783900371433
3,1,0.671539891312934
3,2,0.7052361015971675
3,3,0.7309006132414336
3,4,0.7440210288876178
3,5,0.7507191628922746
3,6,0.7557785191233636
3,7,0.7564907591032392
3,8,0.7564907591032392
4,0,0.5361232802618755
4,1,0.590800317483973
4,2,0.604317513237864
4,3,0.6101879408922873
4,4,0.6144596068425993
4,5,0.6161950325607379
4,6,0.6209821736291602
4,7,0.6218877916549345
4,8,0.6218877916549345
5,0,0.567388055829147
5,1,0.6040858502144588
5,2,0.6240215536114632
5,3,0.6331452593497138
5,4,0.6692582561064211
5,5,0.6849933848776577
5,6,0.6898349629611151
5,7,0.692860949263276
5,8,0.6934661465237082
5,9,0.6946765410445725
5,10,0.6946765410445725
6,0,0.6084527636694674
6,1,0.6659141345573807
6,2,0.6936384195307663
6,3,0.704080638139372
6,4,0.7054894317384317
6,5,0.7098754523705442
6,6,0.7098755224451305
6,7,0.7118095903311757
6,8,0.7118096043460931
6,9,0.7118096183610103
6,10,0.7118096183610103
7,0,0.6981045053164406
7,1,0.7570733961483264
7,2,0.7984838207239052
7,3,0.8148415432617443
7,4,0.8173274499883455
7,5,0.8173346364743818
7,6,0.8179988090318424
7,7,0.8179988090318424
8,0,0.6577205342565843
8,1,0.7201537981502513
8,2,0.7515363989813416
8,3,0.7604661408057382
8,4,0.7635020390453843
8,5,0.7682285033084765
8,6,0.7713403590687473
8,7,0.7713403590687473
9,0,0.6069366903502341
9,1,0.6512811724250477
9,2,0.6633327672935668
9,3,0.6795117511475063
9,4,0.6845241043326721
9,5,0.6846052494522593
9,6,0.6846052494522593
